Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
Franklin,Grizzlies,"Franklin, Indiana",,1890,1894.0,,Indiana IAA
Hanover,Panthers,"Hanover, Indiana",,1890,1894.0,,Indiana IAA
Indiana,Hoosiers,"Bloomington, Indiana",,1890,1894.0,,Indiana IAA
Purdue,Boilermakers,"West Lafayette, Indiana",,1890,1894.0,,Indiana IAA
Wabash,Little Giants,"Crawfordsville, Indiana",,1890,1894.0,,Indiana IAA
Rose Polytechnic Institute,Engineers,"Terre Haute, Indiana",,1890,1894.0,,Indiana IAA
Central Michigan,Chippewas,"Mount Pleasant, Michigan",1892.0,1950,1969.0,21705.0,IIAC
Eastern Illinois,Panthers,"Charleston, Illinois",1895.0,1912,1969.0,8626.0,IIAC
Illinois State,Redbirds,"Normal, Illinois",1857.0,1908,1969.0,20706.0,IIAC
Western Illinois,Leathernecks,"Macomb, Illinois",1899.0,1914,1969.0,7624.0,IIAC
Augustana,Vikings,"Rock Island, Illinois",1860.0,1912,1936.0,2513.0,IIAC
Blackburn,Beavers,"Carlinville, Illinois",1837.0,1914,1922.0,590.0,IIAC
Bradley,Braves,"Peoria, Illinois",1897.0,1908,1936.0,5451.0,IIAC
Carthage,Redmen[a],"Carthage, Illinois",1847.0,1912,1940.0,2374.0,IIAC
Eastern Michigan,Hurons[b],"Ypsilanti, Michigan",1849.0,1950,1961.0,18838.0,IIAC
Elmhurst,Pirates[d],"Elmhurst, Illinois",1871.0,1929,1940.0,2748.0,IIAC
Eureka,Red Devils,"Eureka, Illinois",1855.0,1910,1941.0,680.0,IIAC
Hedding,Orangemen,"Abingdon, Illinois",1855.0,1910,1925.0,,IIAC
Illinois,Blueboys &Lady Blues,"Jacksonville, Illinois",1829.0,1908,1936.0,1105.0,IIAC
Illinois Wesleyan,Titans,"Bloomington, Illinois",1850.0,1908,1936.0,2113.0,IIAC
Knox,Prairie Fire,"Galesburg, Illinois",1837.0,1908,1936.0,1399.0,IIAC
Lake Forest,Foresters,"Lake Forest, Illinois",1857.0,1919,1936.0,1395.0,IIAC
Lincoln,Lynx,"Lincoln, Illinois",1865.0,1910,1927.0,800.0,IIAC
Lombard,"Golden Tornado,Olive","Galesburg, Illinois",1853.0,1908,1928.0,,IIAC
McKendree,Bearcats,"Lebanon, Illinois",1828.0,1912,1937.0,1702.0,IIAC
Millikin,Big Blue,"Decatur, Illinois",1901.0,1908,1936.0,2118.0,IIAC
Monmouth,Fighting Scots,"Monmouth, Illinois",1853.0,1908,1936.0,1300.0,IIAC
Mount Morris,"Mountaineers,Mounders","Mount Morris, Illinois",1839.0,1922,1930.0,,IIAC
North Central,Cardinals,"Naperville, Illinois",1861.0,1927,1936.0,2490.0,IIAC
Northern Illinois,Huskies,"DeKalb, Illinois",1895.0,1920,1965.0,17169.0,IIAC
Shurtleff,"Pioneers,Bison","Alton, Illinois",1827.0,1910,1936.0,,IIAC
Southern Illinois  Carbondale,"Maroons,Salukis","Carbondale, Illinois",1869.0,1913,1961.0,11695.0,IIAC
St. Viator,"Irish,Green","Bourbonnais, Illinois",1865.0,1916,1937.0,,IIAC
Wheaton,Crusaders[g],"Wheaton, Illinois",1860.0,1919,1936.0,2282.0,IIAC
William & Vashti,unknown,"Aledo, Illinois",1908.0,1910,1916.0,,IIAC
Kansas State,Wildcats,"Manhattan, Kansas",1863.0,1902,1913.0,22221,Kansas Collegiate Athletic Conference
Asbury,Eagles,"Wilmore, Kentucky",1890.0,1971,2021.0,1854.0,Kentucky IAC
Bellarmine,Knights,"Louisville, Kentucky",1950.0,1951,1964.0,3369.0,Kentucky IAC
Berea,Mountaineers,"Berea, Kentucky",1855.0,1916,2014.0,1613.0,Kentucky IAC
Bethel,Wildcats,"McKenzie, Tennessee",1842.0,1999,2006.0,2975.0,Kentucky IAC
Campbellsville,Tigers,"Campbellsville, Kentucky",1906.0,1964,1995.0,3318.0,Kentucky IAC
Carlow,Celtics,"Pittsburgh, Pennsylvania",1929.0,2012,2023.0,2400.0,Kentucky IAC
Centre,Colonels,"Danville, Kentucky",1819.0,1916,1962.0,1415.0,Kentucky IAC
Clinch Valley,HighlandCavaliers[i],"Wise, Virginia",1954.0,1971,1994.0,2000.0,Kentucky IAC
Cincinnati Christian,Eagles,"Cincinnati, Ohio",1924.0,2008,2019.0,,Kentucky IAC
Cumberland,Indians[m],"Williamsburg, Kentucky",1887.0,1966,1995.0,1743.0,Kentucky IAC
Eastern Kentucky State Teachers,Colonels,"Richmond, Kentucky",1906.0,1927,1948.0,16959.0,Kentucky IAC
Georgetown,Tigers,"Georgetown, Kentucky",1829.0,1916,1995.0,1400.0,Kentucky IAC
Kentucky Wesleyan,Panthers,"Winchester, Kentucky[o]",1858.0,1916,1955.0,830.0,Kentucky IAC
Lindsey Wilson,Blue Raiders,"Columbia, Kentucky",1903.0,1984,2000.0,2677.0,Kentucky IAC
Louisville,Cardinals,"Louisville, Kentucky",1798.0,1916,1948.0,22640.0,Kentucky IAC
Mid-Continent,Cougars,"Mayfield, Kentucky",1949.0,2000,2006.0,,Kentucky IAC
Morehead State Teachers,Eagles,"Morehead, Kentucky",1922.0,1931,1948.0,10748.0,Kentucky IAC
Mountain State,Cougars,"Beckley, West Virginia",1933.0,2007,2012.0,,Kentucky IAC
Murray State Teachers,Racers,"Murray, Kentucky",1922.0,1933,1948.0,10495.0,Kentucky IAC
Ogden,Eagles,"Bowling Green, Kentucky",1906.0,1916,1927.0,,Kentucky IAC
Ohio Valley,Fighting Scots,"Vienna, West Virginia",1960.0,2021,2021.0,,Kentucky IAC
Pikeville,Bears,"Pikeville, Kentucky",1889.0,1958,2000.0,1156.0,Kentucky IAC
St. Louis  Pharmacy,Eutectics,"St. Louis, Missouri",1864.0,2003,2014.0,1260.0,Kentucky IAC
Spalding,Golden Eagles,"Louisville, Kentucky",1814.0,1992,2007.0,1692.0,Kentucky IAC
Thomas More,Saints,"Crestview Hills, Kentucky",1921.0,1955,1991.0,1963.0,Kentucky IAC
Transylvania,Pioneers,"Lexington, Kentucky",1780.0,1916,2001.0,1120.0,Kentucky IAC
Union,Bulldogs,"Barbourville, Kentucky",1879.0,1933,1995.0,1368.0,Kentucky IAC
Western Kentucky State Teachers,Hilltoppers &Lady Toppers,"Bowling Green, Kentucky",1906.0,1916,1948.0,19456.0,Kentucky IAC
Angelo State,Rams &Rambelles,"San Angelo, Texas",1928.0,1968[a],,10447,Lone Star
Arkansas–Fort Smith,Lions,"Fort Smith, Arkansas",1928.0,2019,,6713,Lone Star
Dallas Baptist,Patriots,"Dallas, Texas",1898.0,2019[c],,5500,Lone Star
Eastern New Mexico,Greyhounds,"Portales, New Mexico",1934.0,1984,,5574,Lone Star
Lubbock Christian,Chaparrals &Lady Chaps,"Lubbock, Texas",1957.0,2019[d],,2100,Lone Star
Oklahoma Christian,Eagles &Lady Eagles,"Oklahoma City, Oklahoma",1950.0,2019,,2479,Lone Star
St. Edward's,Hilltoppers,"Austin, Texas",1885.0,2019,,5500,Lone Star
St. Mary's,Rattlers,"San Antonio, Texas",1852.0,2019,,4500,Lone Star
Texas A&M International,Dustdevils,"Laredo, Texas",1969.0,2019,,4298,Lone Star
Texas A&M –Kingsville,Javelinas,"Kingsville, Texas",1925.0,1954,,8783,Lone Star
Texas Permian Basin,Falcons,"Odessa, Texas",1973.0,2016,,7628,Lone Star
Texas Woman's,Pioneers,"Denton, Texas",1901.0,1989,,12465,Lone Star
Texas at Tyler,Patriots,"Tyler, Texas",1971.0,2019,,5326,Lone Star
Western New Mexico,Mustangs,"Silver City, New Mexico",1893.0,2016,,3820,Lone Star
Abilene Christian,Wildcats,"Abilene, Texas",1906.0,1973,2013.0,5334,Lone Star
Central Oklahoma,Bronchos,"Edmond, Oklahoma",1890.0,1987,2011.0,16428,Lone Star
East Central,Tigers,"Ada, Oklahoma",1909.0,1995,2011.0,4447,Lone Star
Harding,Bisons &Lady Bisons,"Searcy, Arkansas",1924.0,1995,2000.0,6009,Lone Star
Houston,Cougars,"Houston, Texas",1927.0,1945,1949.0,47090,Lone Star
Howard Payne,Yellow Jackets,"Brownwood, Texas",1889.0,1956,1987.0,1400,Lone Star
the Incarnate Word,Cardinals,"San Antonio, Texas",1881.0,2010,2013.0,9366,Lone Star
Lamar,Cardinals,"Beaumont, Texas",1923.0,1950,1965.0,16191,Lone Star
McMurry,War Hawks,"Abilene, Texas",1923.0,1964,1972.0,1430,Lone Star
North Texas,Mean Green,"Denton, Texas",1890.0,1931,1949.0,42372,Lone Star
Northeastern State,RiverHawks,"Tahlequah, Oklahoma",1909.0,1995,2011.0,8276,Lone Star
Ouachita Baptist,Tigers,"Arkadelphia, Arkansas",1886.0,1995,2000.0,1569,Lone Star
Sam Houston State,Bearkats,"Huntsville, Texas",1879.0,1931,1984.0,21679,Lone Star
Southeastern Oklahoma State,Savage Storm,"Durant, Oklahoma",1909.0,1995,2011.0,3889,Lone Star
Southwestern Oklahoma State,Bulldogs,"Weatherford, Oklahoma",1901.0,1996,2011.0,5154,Lone Star
Stephen F. Austin State,Lumberjacks &Ladyjacks,"Nacogdoches, Texas",1921.0,1931,1984.0,11946,Lone Star
Sul Ross State,Lobos,"Alpine, Texas",1917.0,1950,1976.0,2070,Lone Star
Texas A&M –Commerce,Lions,"Commerce, Texas",1889.0,1931,2022.0,12013,Lone Star
Texas State,Bobcats,"San Marcos, Texas",1899.0,1931,1984.0,38231,Lone Star
Cameron,Aggies,"Lawton, Oklahoma",1908.0,1988,1993.0,5500,Lone Star
Cameron,Aggies,"Lawton, Oklahoma",1908.0,1996,,5500,Lone Star
Midwestern State,Mustangs,"Wichita Falls, Texas",1922.0,1948,,6043,Lone Star
Midwestern State,Mustangs,"Wichita Falls, Texas",1922.0,1995,,6043,Lone Star
West Texas A&M,Buffaloes,"Canyon, Texas",1910.0,1986,1990.0,10029,Lone Star
West Texas A&M,Buffaloes,"Canyon, Texas",1910.0,1996,,10029,Lone Star
Tarleton State,Texans,"Stephenville, Texas",1899.0,1968,1976.0,13109,Lone Star
Tarleton State,Texans,"Stephenville, Texas",1899.0,1994,2020.0,13109,Lone Star
Trinity,Tigers,"San Antonio, Texas",1869.0,1932,1934.0,2643,Lone Star
Trinity,Tigers,"San Antonio, Texas",1869.0,1946,1949.0,2643,Lone Star
Denver,Pioneers,"Denver, Colorado",1864.0,2013,,14130,Mid-Continent (MCC)
Nebraska Omaha,Mavericks,"Omaha, Nebraska",1908.0,2012,,15328,Mid-Continent (MCC)
North Dakota,Fighting Hawks,"Grand Forks, North Dakota",1883.0,2018,,14172,Mid-Continent (MCC)
North Dakota State,Bison,"Fargo, North Dakota",1890.0,2007,,11952,Mid-Continent (MCC)
St. Thomas,Tommies,"Saint Paul, Minnesota",1885.0,2021,,9347,Mid-Continent (MCC)
South Dakota,Coyotes,"Vermillion, South Dakota",1862.0,2011,,9464,Mid-Continent (MCC)
South Dakota State,Jackrabbits,"Brookings, South Dakota",1881.0,2007,,11465,Mid-Continent (MCC)
Akron,Zips,"Akron, Ohio",1870.0,1978,1980.0,10378,Mid-Continent (MCC)
DePaul,Blue Demons,"Chicago, Illinois",1898.0,1992,1999.0,24414,Mid-Continent (MCC)
Howard,Bison,"Washington, D.C.",1867.0,1996,1999.0,10000,Mid-Continent (MCC)
C.W. Post of Long Island,Pioneers,"Brookville, New York",1954.0,1994,1998.0,8472,Mid-Continent (MCC)
New York Institute of Technology,Bears,"New York, New York",1955.0,1994,1998.0,13000,Mid-Continent (MCC)
Northern Michigan,Wildcats,"Marquette, Michigan",1899.0,1978,1981.0,6764,Mid-Continent (MCC)
Pace,Setters,"New York, New York",1906.0,1994,1998.0,12772,Mid-Continent (MCC)
Quincy,Hawks,"Quincy, Illinois",1860.0,1994,1996.0,1269,Mid-Continent (MCC)
Southern Illinois  Edwardsville(SIU Edwardsville or SIUE),Cougars,"Edwardsville, Illinois",1957.0,1994,1996.0,13850,Mid-Continent (MCC)
South Dakota,Coyotes,"Vermillion, South Dakota",1862.0,2009,2011.0,10151,Mid-Continent (MCC)
South Dakota State,Jackrabbits,"Brookings, South Dakota",1881.0,2005,2007.0,12851,Mid-Continent (MCC)
State New York at Oneonta,Red Dragons,"Oneonta, New York",1889.0,1996,1998.0,5852,Mid-Continent (MCC)
Valparaiso,Crusaders,"Valparaiso, Indiana",1859.0,2017,2020.0,4500,Mid-Continent (MCC)
Valparaiso,Crusaders,"Valparaiso, Indiana",1859.0,2017,2021.0,4500,Mid-Continent (MCC)
Youngstown State,Penguins,"Youngstown, Ohio",1908.0,1978,1981.0,11298,Mid-Continent (MCC)
Missouri–Kansas City,Roos,"Kansas City, Missouri",1933.0,1994,2012.0,16000,Mid-Continent (MCC)
Missouri–Kansas City,Roos,"Kansas City, Missouri",1933.0,2020,,16000,Mid-Continent (MCC)
Oral Roberts,Golden Eagles,"Tulsa, Oklahoma",1963.0,1997,2011.0,4000,Mid-Continent (MCC)
Oral Roberts,Golden Eagles,"Tulsa, Oklahoma",1963.0,2014,,4000,Mid-Continent (MCC)
Albion,Britons,"Albion, Michigan",1835.0,1888,,1568,Michigan IAA
Alma,Scots,"Alma, Michigan",1886.0,1902,,1400,Michigan IAA
Calvin,Knights,"Grand Rapids, Michigan",1876.0,1953,,3746,Michigan IAA
Hope,Flying Dutchmen,"Holland, Michigan",1866.0,1926,,3150,Michigan IAA
Kalamazoo,Hornets,"Kalamazoo, Michigan",1833.0,1896,,1436,Michigan IAA
Saint Mary's,Belles,"Notre Dame, Indiana",1844.0,1997,,2658,Michigan IAA
Trine,Thunder,"Angola, Indiana",1884.0,2004,,4104,Michigan IAA
Defiance,Yellow Jackets,"Defiance, Ohio",1850.0,1997,1999.0,1000,Michigan IAA
Hillsdale,Chargers,"Hillsdale, Michigan",1844.0,1888,1960.0,1200,Michigan IAA
Michigan State,Spartans,"East Lansing, Michigan",1855.0,1898,1906.0,45520,Michigan IAA
Adrian,Bulldogs,"Adrian, Michigan",1859.0,1908,1922.0,1700,Michigan IAA
Adrian,Bulldogs,"Adrian, Michigan",1859.0,1937,,1700,Michigan IAA
Olivet,Comets,"Olivet, Michigan",1844.0,1888,1939.0,1100,Michigan IAA
Olivet,Comets,"Olivet, Michigan",1844.0,1952,,1100,Michigan IAA
Eastern Michigan,Eagles,"Ypsilanti, Michigan",1849.0,1892,1901.0,20000,Michigan IAA
Eastern Michigan,Eagles,"Ypsilanti, Michigan",1849.0,1920,1925.0,20000,Michigan IAA
Baltimore City,Black Knights,"Baltimore, Maryland",1839.0,1894,1897.0,,Maryland IFA
Johns Hopkins,Blue Jays,"Baltimore, Maryland",1876.0,1894,1899.0,,Maryland IFA
"Maryland,  Park",Terrapins,"College Park, Maryland",1856.0,1894,1897.0,,Maryland IFA
Washington,Shoremen,"Chestertown, Maryland",1782.0,1894,1897.0,,Maryland IFA
American,Eagles,"Washington, D.C.",1893.0,1965,1973.0,12442,Middle Atlantic
Bucknell,Bison,"Lewisburg, Pennsylvania",1846.0,1922,1973.0,3655,Middle Atlantic
Columbia,Lions,"Manhattan, New York City",1754.0,1938,1953.0,27606,Middle Atlantic
Delaware,Fightin' Blue Hens,"Newark, Delaware",1743.0,1922,1973.0,19391,Middle Atlantic
Dickinson,Red Devils,"Carlisle, Pennsylvania",1773.0,1924,1991.0,2300,Middle Atlantic
Drexel,Dragons,"Philadelphia, Pennsylvania",1891.0,1922,1973.0,25500,Middle Atlantic
Franklin & Marshall,Diplomats,"Lancaster, Pennsylvania",1787.0,1922,1991.0,2324,Middle Atlantic
Gettysburg,Bullets,"Gettysburg, Pennsylvania",1832.0,1922,1991.0,2600,Middle Atlantic
Haverford,Fords,"Haverford, Pennsylvania",1833.0,1922,1991.0,1190,Middle Atlantic
Hofstra,Pride,"Hempstead, New York",1935.0,1951,1973.0,12400,Middle Atlantic
Johns Hopkins,Blue Jays,"Baltimore, Maryland",1876.0,1945,1991.0,5326,Middle Atlantic
La Salle,Explorers,"Philadelphia, Pennsylvania",1863.0,1951,1973.0,7554,Middle Atlantic
Lafayette,Leopards,"Easton, Pennsylvania",1826.0,1938,1973.0,2382,Middle Atlantic
Lehigh,Mountain Hawks,"Bethlehem, Pennsylvania",1865.0,1938,1973.0,7070,Middle Atlantic
Muhlenberg,Mules,"Allentown, Pennsylvania",1848.0,1922,1991.0,2225,Middle Atlantic
New York,Violets,New York City,1831.0,1922,1954.0,38391,Middle Atlantic
Pennsylvania,Quakers,"Philadelphia, Pennsylvania",1740.0,1938,1953.0,21329,Middle Atlantic
Princeton,Tigers,"Princeton, New Jersey",1746.0,1922,1953.0,7567,Middle Atlantic
Rider,Broncs,"Lawrenceville, New Jersey",1865.0,1965,1973.0,5790,Middle Atlantic
Rutgers –New Brunswick,Scarlet Knights,"New Brunswick, New Jersey",1766.0,1922,1961.0,58788,Middle Atlantic
Saint Joseph's,Hawks,"Wynnfield, Pennsylvania",1851.0,1949,1973.0,8800,Middle Atlantic
Seton Hall,Pirates,"South Orange, New Jersey",1856.0,1938,1955.0,9745,Middle Atlantic
Swarthmore,Garnet,"Swarthmore, Pennsylvania",1864.0,1922,1991.0,1545,Middle Atlantic
Temple,Owls,"Philadelphia, Pennsylvania",1884.0,1938,1961.0,38648,Middle Atlantic
Upsala,Vikings,"East Orange, New Jersey",1893.0,1960,1994.0,435,Middle Atlantic
Ursinus,Bears,"Collegeville, Pennsylvania",1869.0,1938,1991.0,1650,Middle Atlantic
Wagner,Seahawks,"Staten Island, New York City",1883.0,1938,1974.0,2400,Middle Atlantic
Washington,Shoremen (men's)Shorewomen (women's),"Chestertown, Maryland",1723.0,1946,1991.0,1450,Middle Atlantic
West Chester Pennsylvania,Golden Rams,"West Chester, Pennsylvania",1871.0,1938,1950.0,14950,Middle Atlantic
Cal State Hayward,Pioneers,"Hayward, CA",1956.0,1961,1998.0,,Far Western
Chico State,Wildcats,"Chico, CA",1887.0,1928,1998.0,,Far Western
Fresno State,Bulldogs,"Fresno, CA",1911.0,1925,1940.0,,Far Western
Humboldt State,Lumberjacks,"Arcata, CA",1913.0,1940,1998.0,,Far Western
Nevada,Wolf Pack,"Reno, NV",1874.0,19251953,19401969.0,,Far Western
Pacific (CA),Tigers,"Stockton, CA",1911.0,1925,1942.0,,Far Western
Sacramento State,Hornets,"Sacramento, CA",1947.0,1953,1985.0,,Far Western
St. Ignatius,Dons,"San Francisco, CA",1855.0,1927,1929.0,,Far Western
Saint Mary's,Gaels,"Moraga, CA",1863.0,1925,1927.0,,Far Western
San Francisco State,Gators,"San Francisco, CA",1899.0,19461953,19511998.0,,Far Western
San Jose State,Spartans,"San Jose, CA",1857.0,1929,1935.0,,Far Western
Sonoma State,Cossacks (now Seawolves),"Rohnert Park, CA",1960.0,19661982,19741998.0,,Far Western
Southern Oregon,Raiders,"Ashland, OR",1872.0,1947,1953.0,,Far Western
Stanislaus State,Warriors,"Turlock, CA",1957.0,1975,1998.0,,Far Western
UC Davis,Aggies,"Davis, CA",1905.0,1925,1998.0,,Far Western
Nevada,Wolf Pack,"Reno, Nevada",1874.0,1925,1940.0,,Far Western
Nevada,Wolf Pack,"Reno, Nevada",1874.0,1953,1969.0,,Far Western
San Francisco State,Gators,"San Francisco, California",1899.0,1946,1951.0,,Far Western
San Francisco State,Gators,"San Francisco, California",1899.0,1953,1998.0,,Far Western
Sonoma State,Seawolves,"Rohnert Park, California",1960.0,1966,1974.0,,Far Western
Sonoma State,Seawolves,"Rohnert Park, California",1960.0,1982,1998.0,,Far Western
Capital,Comets,"Bexley, Ohio",1830.0,1927,,3628.0,Ohio Athletic
Heidelberg,Student Princes,"Tiffin, Ohio",1850.0,1907,,1500.0,Ohio Athletic
Marietta,Pioneers,"Marietta, Ohio",1835.0,1926,,1430.0,Ohio Athletic
Mount Union,Purple Raiders,"Alliance, Ohio",1846.0,1914,,2223.0,Ohio Athletic
Muskingum,Fighting Muskies,"New Concord, Ohio",1837.0,1922,,1779.0,Ohio Athletic
Otterbein,Cardinals,"Westerville, Ohio",1847.0,1921,,3080.0,Ohio Athletic
Wilmington,Quakers,"Wilmington, Ohio",1870.0,2000,,1389.0,Ohio Athletic
Ashland,Eagles,"Ashland, Ohio",,1931,1948.0,6626.0,Ohio Athletic
Bowling Green,Falcons,"Bowling Green, Ohio",,1933,1942.0,17540.0,Ohio Athletic
Case Institute of Technology,various[c],"Cleveland, Ohio",,1902,1948.0,,Ohio Athletic
Cincinnati,Bearcats,"Cincinnati, Ohio",,1910,1924.0,45949.0,Ohio Athletic
Dayton,Flyers,"Dayton, Ohio",,1926,1934.0,11241.0,Ohio Athletic
Kent State,Golden Flashes,"Kent, Ohio",,1932,1951.0,28122.0,Ohio Athletic
Kenyon,Lords &Ladies,"Gambier, Ohio",,1902,1984.0,1640.0,Ohio Athletic
Miami (OH),RedHawks[f],"Oxford, Ohio",,1911,1928.0,19933.0,Ohio Athletic
Oberlin,Yeomen &Yeowomen,"Oberlin, Ohio",,1902,1984.0,2850.0,Ohio Athletic
Ohio State,Buckeyes,"Columbus, Ohio",,1902,1912.0,61369.0,Ohio Athletic
Ohio,Bobcats,"Athens, Ohio",,1910,1925.0,28750.0,Ohio Athletic
Toledo,Rockets,"Toledo, Ohio",,1932,1947.0,20304.0,Ohio Athletic
Western Reserve,various[j],"Cleveland, Ohio",,1902,1932.0,,Ohio Athletic
The  Wooster,Fighting Scots,"Wooster, Ohio",,1907,1984.0,1827.0,Ohio Athletic
Xavier,Musketeers,"Cincinnati, Ohio",,1921,1936.0,7112.0,Ohio Athletic
Baldwin Wallace,Yellow Jackets,"Berea, Ohio",1845.0,1915,1918.0,3500.0,Ohio Athletic
Baldwin Wallace,Yellow Jackets,"Berea, Ohio",1845.0,1923,1947.0,3500.0,Ohio Athletic
Baldwin Wallace,Yellow Jackets,"Berea, Ohio",1845.0,1961,,3500.0,Ohio Athletic
John Carroll,Blue Streaks,"University Heights, Ohio",1886.0,1932,1948.0,3500.0,Ohio Athletic
John Carroll,Blue Streaks,"University Heights, Ohio",1886.0,1989,,3500.0,Ohio Athletic
Ohio Northern,Polar Bears,"Ada, Ohio",1871.0,1916,1948.0,3500.0,Ohio Athletic
Ohio Northern,Polar Bears,"Ada, Ohio",1871.0,1973,,3500.0,Ohio Athletic
Akron,Zips,"Akron, Ohio",1870.0,1915,1936.0,3500.0,Ohio Athletic
Akron,Zips,"Akron, Ohio",1870.0,1944,1966.0,3500.0,Ohio Athletic
Denison,Big Red,"Granville, Ohio",1831.0,1907,1928.0,3500.0,Ohio Athletic
Denison,Big Red,"Granville, Ohio",1831.0,1933,1984.0,3500.0,Ohio Athletic
Hiram,Terriers,"Hiram, Ohio",1850.0,1920,1935.0,3500.0,Ohio Athletic
Hiram,Terriers,"Hiram, Ohio",1850.0,1951,1971.0,3500.0,Ohio Athletic
Hiram,Terriers,"Hiram, Ohio",1850.0,1989,1999.0,3500.0,Ohio Athletic
Ohio Wesleyan,Battling Bishops,"Delaware, Ohio",1842.0,1902,1928.0,3500.0,Ohio Athletic
Ohio Wesleyan,Battling Bishops,"Delaware, Ohio",1842.0,1947,1984.0,3500.0,Ohio Athletic
Wittenberg,Tigers,"Springfield, Ohio",1845.0,1909,1928.0,3500.0,Ohio Athletic
Wittenberg,Tigers,"Springfield, Ohio",1845.0,1934,1989.0,3500.0,Ohio Athletic
Arkansas at Little Rock,Trojans,"Little Rock, Arkansas",1927.0,2022,,8197,Ohio Valley (OVC)
Eastern Illinois,Panthers,"Charleston, Illinois",1895.0,1996,,8857,Ohio Valley (OVC)
Lindenwood,Lions,"St. Charles, Missouri",1827.0,2022,,6992,Ohio Valley (OVC)
Morehead State,Eagles,"Morehead, Kentucky",1887.0,1948,,8810,Ohio Valley (OVC)
Southeast Missouri State,Redhawks,"Cape Girardeau, Missouri",1873.0,1991,,9927,Ohio Valley (OVC)
Southern Illinois  Edwardsville,Cougars,"Edwardsville, Illinois",1957.0,2008,,12860,Ohio Valley (OVC)
Southern Indiana,Screaming Eagles,"Evansville, Indiana[a]",1965.0,2022,,7361,Ohio Valley (OVC)
Tennessee State,Tigers/Lady Tigers,"Nashville, Tennessee",1912.0,1986,,9218,Ohio Valley (OVC)
Tennessee Technological,Golden Eagles,"Cookeville, Tennessee",1915.0,1949,,9902,Ohio Valley (OVC)
Tennessee at Martin,Skyhawks,"Martin, Tennessee",1927.0,1992,,6873,Ohio Valley (OVC)
Western Illinois,Leathernecks,"Macomb, Illinois",1899.0,2023,,"7,643[22]",Ohio Valley (OVC)
Akron,Zips,"Akron, Ohio",1870.0,1980,1987.0,,Ohio Valley (OVC)
Austin Peay State,Governors,"Clarksville, Tennessee",1927.0,1962,2022.0,,Ohio Valley (OVC)
Belmont,Bruins,"Nashville, Tennessee",1890.0,2012,2022.0,,Ohio Valley (OVC)
East Tennessee State,Buccaneers/Lady Buccaneers[a],"Johnson City, Tennessee",1911.0,1958,1978.0,,Ohio Valley (OVC)
Eastern Kentucky,Colonels,"Richmond, Kentucky",1906.0,1948,2021.0,,Ohio Valley (OVC)
Evansville,Purple Aces,"Evansville, Indiana",1854.0,1948,1952.0,,Ohio Valley (OVC)
Jacksonville State,Gamecocks,"Jacksonville, Alabama",1883.0,2003,2021.0,,Ohio Valley (OVC)
Louisville,Cardinals,"Louisville, Kentucky",1798.0,1948,1949.0,,Ohio Valley (OVC)
Marshall,Thundering Herd,"Huntington, West Virginia",1837.0,1949,1952.0,,Ohio Valley (OVC)
Middle Tennessee,Blue Raiders,"Murfreesboro, Tennessee",1911.0,1952,2000.0,,Ohio Valley (OVC)
Murray State,Racers,"Murray, Kentucky",1922.0,1948,2022.0,,Ohio Valley (OVC)
Samford,Bulldogs,"Homewood, Alabama",1841.0,2003,2008.0,,Ohio Valley (OVC)
Western Kentucky,Hilltoppers/Lady Toppers,"Bowling Green, Kentucky",1906.0,1948,1982.0,,Ohio Valley (OVC)
Youngstown State,Penguins,"Youngstown, Ohio",1908.0,1981,1988.0,,Ohio Valley (OVC)
Youngstown State,Penguins,"Youngstown, Ohio",1908.0,1981,1988.0,,Ohio Valley (OVC)
Murray State,Racers,"Murray, Kentucky",1922.0,1948,2022.0,,Ohio Valley (OVC)
Allegheny,Gators,"Meadville, Pennsylvania",1815.0,2022,,1442.0,Presidents Athletic Conf (PAC)
Bethany,Bison,"Bethany, West Virginia",1840.0,1958,,650.0,Presidents Athletic Conf (PAC)
Chatham,Cougars,"Pittsburgh, Pennsylvania",1869.0,2007,,2300.0,Presidents Athletic Conf (PAC)
Franciscan Steubenville,Barons,"Steubenville, Ohio",1946.0,2020,,2716.0,Presidents Athletic Conf (PAC)
Geneva,Golden Tornadoes,"Beaver Falls, Pennsylvania",1848.0,2007,,1791.0,Presidents Athletic Conf (PAC)
Grove City,Wolverines,"Grove City, Pennsylvania",1876.0,1984,,2500.0,Presidents Athletic Conf (PAC)
Saint Vincent,Bearcats,"Latrobe, Pennsylvania",1846.0,2006,,1652.0,Presidents Athletic Conf (PAC)
Thiel,Tomcats,"Greenville, Pennsylvania",1866.0,1958,,790.0,Presidents Athletic Conf (PAC)
Washington & Jefferson,Presidents,"Washington, Pennsylvania",1781.0,1958,,1519.0,Presidents Athletic Conf (PAC)
Waynesburg,Yellow Jackets,"Waynesburg, Pennsylvania",1849.0,1990,,1500.0,Presidents Athletic Conf (PAC)
Westminster,Titans,"New Wilmington, Pennsylvania",1852.0,2000,,1482.0,Presidents Athletic Conf (PAC)
Alfred,Saxons,"Alfred, New York",1836.0,1996,1997.0,2300.0,Presidents Athletic Conf (PAC)
Carnegie Mellon,Tartans,"Pittsburgh, Pennsylvania",1900.0,1968,1989.0,6170.0,Presidents Athletic Conf (PAC)
Case Institute of Technology,Rough Riders,"Cleveland, Ohio",1880.0,1955,1969.0,,Presidents Athletic Conf (PAC)
